county,status,plant
Goliad,operating,Coleto Creek power station
Fayette,operating,Fayette Power Project
Potter,operating,Harrington Station
Bexar,operating,J. K. Spruce Station
Limestone,operating,Limestone Generating Station
Robertson,operating,Major Oak power station
Rusk,operating,Martin Lake Steam Station
Robertson,operating,Oak Grove Plant
Fort Bend,operating,Parish Generating Station
Harrison,operating,Pirkey Power Plant
Atascosa,operating,San Miguel Electric Cooperative
McLennan,operating,Sandy Creek Plant
Lamb,operating,Tolk Station
Titus,operating,Welsh Power Plant
